customerID,churn_prediction,churn_probability
7590-VHVEG,No,0.255
5575-GNVDE,No,0.05
3668-QPYBK,Yes,0.935
7795-CFOCW,No,0.03
9237-HQITU,Yes,0.96
9305-CDSKC,Yes,0.86
1452-KIOVK,No,0.085
6713-OKOMC,No,0.225
7892-POOKP,Yes,0.745
6388-TABGU,No,0.03
9763-GRSKD,No,0.445
7469-LKBCI,No,0.21
8091-TTVAX,No,0.11
0280-XJGEX,No,0.29
5129-JLPIS,No,0.14
3655-SNQYZ,No,0.13
8191-XWKSW,No,0.02
9959-WOFKT,No,0.04
4190-MFLUW,Yes,0.81
4183-MYFRB,No,0.205
8779-QRDMV,Yes,0.98
1680-VDCWW,Yes,0.755
1873-LICLD,No,0.045
7368-SNAGG,Yes,0.975
0534-AEFSW,No,0.075
3668-QPYBK,Yes,0.935
5409-WILTE,Yes,0.955
0259-MTNMG,No,0.055
9143-QCNOD,No,0.065
3849-OUEVH,Yes,0.89
